Company,Website,Industry,Product/Service Category,Business Type,Employees Count,Revenue,Year Founded,BBB Rating,City,State,Company Phone,Company LinkedIn,Owner's First Name,Owner's Last Name,Owner's Title,Owner's LinkedIn,Owner's Phone Number,Owner's Email,Source,Lead Score
"Moss, Perez and Morgan",https://www.johnson.info/,Education,CRM,B2B,882,$1M-$10M,2016,A,Lake Jacquelineburgh,TX,198-267-4705x745,,Kimberly,Lee,Heritage manager,,(859)960-9119x6876,,manual,43
"Smith, Johnson and Johnson",https://dalton-robinson.net/,Software Development,e-Learning,B2B,160,$1M-$10M,1996,C,West Rachelchester,PA,(567)190-8828x8808,,Diana,Parsons,Financial controller,,+1-575-274-6013x569,lawsonalan@wagner.net,scraped,45
Richardson-Cole,http://gonzalez-keller.biz/,Education,Accounting Tools,B2B2C,654,$10M-$50M,2006,B,Thomashaven,ID,098-083-7270x86490,,Laura,Carlson,Medical technical officer,,+1-130-457-5143x463,hallbrandon@nielsen-chapman.info,manual,30
"Novak, Pearson and Aguilar",https://jones.net/,Software Development,Custom Software,B2B2C,889,$500K-$1M,2002,C,West Edward,MS,+1-737-272-7332,https://www.johnson.biz/,Hannah,Holt,Special educational needs teacher,http://www.smith-garcia.com/,831.816.3017x868,hlandry@marks-green.com,manual,35
Hughes LLC,http://brown.info/,Retail,EHR Systems,B2C,31,$500K-$1M,2001,A+,East Lauratown,SC,569.190.8197,http://www.odom-chavez.org/,Ann,Pearson,Jewellery designer,http://www.carlson.com/,+1-195-690-0885x424,,manual,35
Turner LLC,http://www.roman.org/,Education,EHR Systems,B2B2C,464,$50M+,2019,C,New Colinview,OH,+1-089-511-9613,,Ryan,Edwards,Health visitor,,658.306.3805x07041,sarahgray@gmail.com,manual,20
"Sawyer, Mcdonald and Moran",https://sheppard.com/,Retail,Custom Software,B2C,89,$50M+,2024,NR,New Richardborough,WA,+1-057-483-8919,https://www.scott-jackson.org/,Karen,Graham,Environmental health practitioner,http://www.smith.biz/,001-496-876-0137x2454,,scraped,15
Long-Whitney,https://www.thomas.com/,Real Estate,Accounting Tools,B2B,773,$1M-$10M,2016,NR,Port Wendychester,CA,931-482-2921x7212,http://www.hill.biz/,Gina,Stewart,Technical author,https://www.sanchez.com/,+1-473-745-5602,,manual,40
Mathis-Krueger,http://chapman.org/,Retail,Mobile Apps,B2B2C,407,$500K-$1M,2000,NR,East Emily,AZ,599-746-1112,https://www.coleman-flores.com/,Jacob,Woods,"Engineer, manufacturing",https://carter.com/,6413851531,,manual,20
Lopez-Gould,http://harmon-davis.com/,Healthcare,Custom Software,B2B,340,$1M-$10M,2020,A+,Smithshire,WI,001-730-950-4704x38530,http://stout-torres.biz/,Jenny,Nguyen,Claims inspector/assessor,https://www.wyatt.com/,001-694-845-6148x08541,,manual,45
Morrison-Lopez,http://www.carney.com/,Finance,CRM,B2B,157,$50M+,1998,NR,East Robertview,AL,255.208.8251,,John,Walsh,"Lighting technician, broadcasting/film/video",,001-679-146-1113x880,sosborne@hotmail.com,scraped,25
"Williamson, Bennett and Henderson",http://www.lawrence.com/,Real Estate,Custom Software,B2C,599,$10M-$50M,2005,C,Knoxville,KY,655.724.8938,https://watts.com/,Erin,Brown,Dispensing optician,https://curtis.com/,(262)083-5681x53906,fleon@holder-martinez.org,manual,35
Garner Group,http://www.hudson-cantu.org/,Finance,Accounting Tools,B2B,451,$10M-$50M,2002,A+,West Stephanie,TN,(443)291-3628x7043,https://www.smith-weaver.com/,Kimberly,Wheeler,Orthoptist,https://www.browning.com/,(439)300-5277,,scraped,45
Hancock-Lamb,https://schmidt.com/,Healthcare,e-Learning,B2C,780,$50M+,2013,NR,Michaelview,MI,(929)850-2035,http://www.miller-carrillo.com/,Bryan,Booker,Insurance account manager,http://fuller.com/,(191)383-8719,,scraped,15
Johnson Group,https://soto.biz/,Retail,EHR Systems,B2C,101,$500K-$1M,2007,NR,Burnsstad,TX,535-874-7617x8512,http://www.henry-west.info/,James,Sawyer,Commercial art gallery manager,http://lynn.com/,+1-449-273-5931,,manual,20
Gallegos Ltd,https://www.wheeler-wagner.com/,Finance,e-Learning,B2B,89,$50M+,1990,A+,North Dwayne,OR,001-277-817-2510,,Cynthia,Bowers,Air traffic controller,,001-975-404-5306x73737,gonzalesjeff@lester-weaver.com,scraped,40
"Wood, Bauer and Thomas",http://barrera.com/,Real Estate,e-Learning,B2C,758,$500K-$1M,1992,A,Beckfort,NE,+1-640-450-1171x94251,https://www.hall-baker.com/,Jonathan,Jones,Glass blower/designer,http://allen-tyler.net/,(267)985-5935x41752,johnsondaniel@solis-nelson.biz,manual,33
"Lee, Harrington and Miller",https://mckenzie.com/,Retail,Accounting Tools,B2B2C,218,$500K-$1M,1998,B,Sheilachester,PA,001-721-598-5684x07103,,Terry,Hodges,Community pharmacist,,001-262-270-9689,april27@schneider-lee.biz,scraped,15
"Maxwell, Carter and Briggs",https://www.maxwellcarterbriggs.com/,Software Development,Cloud Solutions,B2B,12000,$1B-$10B,1995,A+,San Mateo,CA,650-555-9821,https://www.linkedin.com/company/maxwellcarterbriggs,Alexis,Nguyen,Chief Technology Officer,https://www.linkedin.com/in/alexisnguyen,650-123-4567,alexis.nguyen@maxcb.com,manual,89
Veridian Group,http://www.veridian-tech.com/,Finance,FinTech,B2B,9000,$10B-$50B,1982,A,Chicago,IL,312-555-9933,https://www.linkedin.com/company/veridiangroup,Michael,Wright,VP of Business Development,https://www.linkedin.com/in/michaelwright,312-768-1122,michael.wright@veridian.com,scraped,92
"Nova, Finch and Delgado",https://www.novafinch.com/,Healthcare,Biotech,B2B,18000,$50B+ ,2001,A+,Boston,MA,617-777-8800,https://www.linkedin.com/company/novafinch,Katherine,Foster,Chief Medical Officer,https://www.linkedin.com/in/katherinefoster,617-223-8877,katherine.foster@novafinch.com,manual,95
Apexon Inc,https://www.apexon.com/,Retail,E-commerce,B2C,25000,$10B-$50B,2010,B+,Seattle,WA,206-888-1234,https://www.linkedin.com/company/apexoninc,Rajiv,Menon,CEO,https://www.linkedin.com/in/rajivmenon,206-789-9999,rajiv.menon@apexon.com,scraped,87
Orion Digital,http://www.oriondigital.com/,Education,EdTech,B2B2C,7200,$1B-$10B,2008,A,Brooklyn,NY,718-555-9090,https://www.linkedin.com/company/oriondigital,Linda,Chen,Director of Innovation,https://www.linkedin.com/in/lindachen,718-123-4321,lchen@orionedu.com,manual,84
Sanchez-Jenkins,http://www.bailey-robinson.com/,Healthcare,e-Learning,B2B2C,775,$1M-$10M,1999,A+,Hollyshire,OH,7492943271,http://www.whitaker-gonzales.biz/,Lisa,Horn,"Administrator, Civil Service",http://www.patel.com/,3067499954,,scraped,35
Small Ltd,http://www.stanley.com/,Education,EHR Systems,B2C,905,$10M-$50M,2010,B,West Vincent,CA,241.442.1145,https://harmon.biz/,Sabrina,Nelson,Naval architect,http://www.wilson-griffith.com/,7251454332,elizabeth46@jones.biz,scraped,30
Hester PLC,https://martin.com/,Software Development,Accounting Tools,B2B2C,520,$10M-$50M,1999,NR,Susanburgh,ME,734.719.1712x3766,http://dodson.org/,Paula,Clark,Sales promotion account executive,http://davis.net/,490.421.5224x902,cmiller@hotmail.com,manual,45
Brady LLC,http://www.schmidt.com/,Real Estate,CRM,B2C,643,$10M-$50M,2005,C,Pricemouth,WY,001-823-571-0434x014,http://kerr.com/,Brad,Carey,Public affairs consultant,http://miller.com/,2103491405,,scraped,25
"Johnson, Silva and Mcdonald",http://smith-jones.com/,Real Estate,Accounting Tools,B2B2C,806,$50M+,2015,A+,Richardland,AR,001-431-374-9539x6718,http://www.moore.com/,Thomas,Meadows,Insurance broker,https://www.martinez.com/,913-493-3934,,manual,30
"Nixon, Robertson and Morrison",https://bradley-adams.com/,Finance,Custom Software,B2B,196,$10M-$50M,2017,B,Hensonmouth,DE,891-661-2110,,Andrew,English,"Nurse, children's",,068-657-9004,,manual,35
"Tran, Ryan and Ramirez",http://www.brown.info/,Real Estate,Accounting Tools,B2B2C,961,$50M+,2023,NR,Juliaberg,NC,001-677-322-3453,,Danielle,Perez,"Loss adjuster, chartered",,956-795-7599,jamesmckinney@glover.com,manual,15
"Payne, Murphy and Smith",http://reese.com/,Software Development,Mobile Apps,B2C,679,$10M-$50M,1997,A+,Lake Ann,ID,9846326452,,Charles,Baker,Landscape architect,,515-343-3326x837,,scraped,40
"Lynch, Mendoza and Conner",https://www.robinson.info/,Education,EHR Systems,B2B,943,$10M-$50M,2018,B,West Keith,VA,4386393261,,Steven,Robertson,Travel agency manager,,001-397-457-3304x419,,scraped,30
Anderson-Trujillo,https://www.page-clark.com/,Finance,e-Learning,B2B2C,375,$1M-$10M,2015,C,Patelside,TN,199.682.1069,,Cynthia,Allen,Dance movement psychotherapist,,(771)771-5341,,scraped,20
Howard-Lewis,http://jackson-stephenson.com/,Finance,CRM,B2C,601,$50M+,2006,B,West Timothy,AL,303-377-0362x884,,Ashley,Stone,"Solicitor, Scotland",,+1-551-796-7577x935,phillipsdana@campbell.biz,scraped,15
Baker Group,http://jordan.info/,Real Estate,EHR Systems,B2B2C,494,$50M+,2000,A,West Katherineland,IL,001-274-853-8965x85149,https://holland.info/,Courtney,Washington,Product designer,https://www.moore.com/,001-353-204-4555x303,,manual,28
Shah Group,http://www.mccall-hernandez.com/,Finance,CRM,B2B2C,750,$1M-$10M,2019,A+,New Josephburgh,MT,198-105-7683x6567,http://castaneda-medina.biz/,Andrew,Gaines,Broadcast journalist,https://russell.com/,(295)842-2252x3591,,scraped,35
Mcdowell Group,http://black.com/,Real Estate,e-Learning,B2B2C,391,$1M-$10M,2000,A+,Cynthialand,AL,558-104-9984,,James,Maldonado,"Designer, jewellery",,+1-534-071-3441x7474,,manual,35
King Inc,https://payne.com/,Education,CRM,B2C,181,$500K-$1M,2019,NR,Lopezport,LA,(847)020-3002x41566,http://miranda.com/,Lisa,Jacobs,Farm manager,https://gonzalez.com/,356.642.0298,,scraped,15
Morrison Inc,https://jackson-anderson.biz/,Healthcare,CRM,B2B2C,445,$10M-$50M,1990,B,Laurafurt,MN,713.458.1694x1061,https://lopez-pineda.net/,John,Howard,Hydrologist,https://www.paul-jones.com/,5407610585,,scraped,25
Bray PLC,http://smith.com/,Retail,e-Learning,B2B2C,112,$500K-$1M,2015,A+,Robertview,OR,598-205-2841,http://www.cain-pacheco.com/,Victoria,Perez,"Accountant, chartered public finance",https://mcmillan-rios.com/,722.437.2531x10823,rutharcher@yahoo.com,scraped,30
Short-Ramirez,http://gallagher.com/,Real Estate,EHR Systems,B2C,239,$50M+,2017,NR,Lake Juan,KY,985-523-4368x98158,,Walter,Boyd,Museum/gallery curator,,951-791-4319,brian57@hotmail.com,manual,20
Mccoy LLC,http://www.suarez-miller.com/,Real Estate,Custom Software,B2B2C,318,$10M-$50M,2012,A+,Brewerview,LA,001-087-912-1215,http://www.james-anderson.com/,Mark,Mccarthy,"Engineer, control and instrumentation",https://www.nelson.com/,(477)244-7261x55334,ericbryant@gmail.com,manual,45
Jones Ltd,https://chavez-bailey.com/,Finance,e-Learning,B2C,67,$10M-$50M,2012,B,Carrollside,IL,097-339-5584x898,,Jennifer,Lee,"Engineer, water",,(338)781-2777x163,,scraped,25
Parsons Group,https://www.black.info/,Finance,Mobile Apps,B2B,542,$1M-$10M,2015,NR,North George,FL,+1-100-602-6358,,Wendy,Jordan,Clinical biochemist,,334.380.3262x60805,catherine89@jones.com,manual,40
Ray Inc,https://www.cordova.com/,Finance,EHR Systems,B2C,38,$1M-$10M,2003,B,Colleenland,NV,926.571.8799x309,http://www.smith.com/,Joseph,Stone,Data scientist,http://www.boone.info/,575-918-6591x61932,,manual,35
Gilmore and Sons,https://johnson.biz/,Healthcare,e-Learning,B2B,569,$1M-$10M,2019,C,New Stevenville,ND,+1-374-160-2664x88479,,Amber,Collins,Biomedical scientist,,+1-438-384-8287x46319,wnewton@neal.com,manual,40
Henry-Noble,http://price.com/,Retail,e-Learning,B2C,505,$1M-$10M,2009,A+,South Gabriel,TX,2440461462,http://www.short.info/,Tommy,Rice,Clinical cytogeneticist,https://www.wright-morales.info/,(990)961-8792,erin98@jackson.com,manual,45
Sullivan and Sons,https://rodriguez.info/,Healthcare,Accounting Tools,B2B,437,$1M-$10M,2008,C,North Michellefurt,IN,+1-529-728-7903x5919,,Maria,Stevens,Environmental consultant,,(224)491-1798x039,,scraped,30
Smith-Crane,http://www.brown.org/,Education,e-Learning,B2B2C,381,$500K-$1M,2006,B,Gabrielton,AZ,(501)913-7112,http://www.rhodes.info/,Cynthia,Figueroa,Forensic scientist,https://taylor.com/,(270)427-5988,,scraped,15
Graham Inc,https://www.cummings.com/,Education,CRM,B2B,574,$1M-$10M,2015,A+,Wrightland,SC,9667821529,http://wright.com/,Stephanie,Pace,Radiation protection practitioner,https://www.velez.info/,468-055-5769x4867,,scraped,45
Mccoy and Sons,https://www.wheeler.com/,Healthcare,Accounting Tools,B2B,763,$1M-$10M,1991,NR,Powellville,TN,(987)363-5869,https://www.rivas-huang.info/,Kyle,Thomas,Hotel manager,http://knight.com/,+1-248-415-0010x6993,fmercer@yahoo.com,scraped,40
Parker-Charles,https://hobbs.com/,Software Development,Accounting Tools,B2B2C,740,$10M-$50M,2006,A+,Elizabethton,AL,+1-438-366-3663x242,https://www.rocha-christian.com/,Karen,Bennett,Pharmacologist,http://www.wright-duncan.com/,960-287-5580,williamwalter@yahoo.com,scraped,50
"Perkins, Winters and George",https://jones.info/,Real Estate,EHR Systems,B2B2C,612,$500K-$1M,1999,B,Jasonfurt,UT,631.940.1832x6314,,Mario,Griffin,Commissioning editor,,+1-342-416-6006x7574,,manual,15
Barron-Alexander,http://www.goodwin.com/,Healthcare,Accounting Tools,B2B2C,99,$10M-$50M,1998,A+,Griffithmouth,VT,(202)187-9536x96657,https://anderson-simon.com/,Michael,James,Surgeon,https://www.sutton.com/,625-687-8298x1733,,manual,45
"Porter, Leonard and Johnston",http://king-watkins.net/,Education,Accounting Tools,B2C,514,$500K-$1M,2022,A,Ericaton,AZ,+1-296-892-9292x6686,https://vargas.com/,Randall,Taylor,Associate Professor,http://jensen-smith.org/,001-099-338-6088x50208,contreraskaren@yahoo.com,manual,28
"Torres, Smith and Salazar",http://russo.info/,Real Estate,CRM,B2C,278,$50M+,1992,A,Annetteville,RI,(984)423-4801x301,,Laura,Guerrero,"Copywriter, advertising",,852.099.0981x24566,david05@washington.com,scraped,23
Gaines-Charles,http://mercer.com/,Healthcare,CRM,B2C,294,$10M-$50M,2003,C,Port Brandon,GA,3784177902,,Laura,Ford,Marine scientist,,(529)827-9636x09766,jennifer77@williams.com,manual,30
"Davis, Glover and Robles",http://chan.info/,Real Estate,Accounting Tools,B2B,298,$50M+,2021,C,Lake Devon,NH,(271)529-1124x950,,Kara,Rodriguez,Trade union research officer,,100.290.2968x0662,jjohnson@yahoo.com,scraped,20
